TeamName,PrimaryPosition,PrimaryDepth,PlayerName,PlayerUID,InjuryStatus,Position2,Depth2,Position3,Depth3,InferredRace,RaceConfidence,InferredAge,InferredEmotion,EmotionConfidence,PlayerHeightWeight,PlayerBirthdate,PlayerCollege,PlayerDraftInfo,PlayerOverallStatus,PlayerURL
Atlanta Falcons,RB,3,Jase McClellan,s:20~l:28~a:4429001,,,,,,Black,10000.00%,25,Neutral,8849.28%,,6/25/2002,Alabama,"2024: Rd 6, Pk 186 (ATL)",,https://www.espn.com/nfl/player/_/id/4429001/jase-mcclellan
Dallas Cowboys,LDT,3,Justin Rogers,s:20~l:28~a:4692185,,,,,,White,7969.82%,38,Neutral,9984.50%,,9/12/2000,Auburn,"2024: Rd 7, Pk 244 (DAL)",,https://www.espn.com/nfl/player/_/id/4692185/justin-rogers
Las Vegas Raiders,SS,4,Jonathan Sutherland,s:20~l:28~a:4259608,,,,,,Latino Hispanic,2639.93%,23,Sad,3700.42%,,8/9/1998,Penn State,,,https://www.espn.com/nfl/player/_/id/4259608/jonathan-sutherland
Los Angeles Chargers,RT,3,Tyler McLellan,s:20~l:28~a:4247248,,,,,,White,9955.11%,25,Happy,9952.45%,,7/21/1999,Campbell,,,https://www.espn.com/nfl/player/_/id/4247248/tyler-mclellan
Los Angeles Rams,LT,4,David Quessenberry,s:20~l:28~a:15946,,,,,,White,9203.03%,32,Happy,8657.55%,"6' 5"", 306 lbs",8/24/1990 (34),San Jose State,"2013: Rd 6, Pk 176 (HOU)",Active,https://www.espn.com/nfl/player/_/id/15946/david-quessenberry
Minnesota Vikings,SS,3,Bubba Bolden,s:20~l:28~a:4259631,,,,,,Black,6150.03%,32,Neutral,9881.92%,,5/28/1999,Miami,,,https://www.espn.com/nfl/player/_/id/4259631/bubba-bolden
New Orleans Saints,RB,4,Clyde Edwards-Helaire,s:20~l:28~a:4242214,,,,,,Black,10000.00%,26,Neutral,9989.03%,"5' 7"", 207 lbs",4/11/1999 (26),LSU,"2020: Rd 1, Pk 32 (KC)",Active,https://www.espn.com/nfl/player/_/id/4242214/clyde-edwards-helaire
New York Jets,RT,3,Zack Bailey,s:20~l:28~a:3924352,,,,,,White,8054.60%,26,Happy,5590.28%,,11/8/1995,South Carolina,,,https://www.espn.com/nfl/player/_/id/3924352/zack-bailey
New York Jets,LCB,4,Tre Swilling,s:20~l:28~a:4240476,,,,,,Black,9999.87%,26,Happy,9402.55%,,3/26/1999,Georgia Tech,,,https://www.espn.com/nfl/player/_/id/4240476/tre-swilling
New York Jets,PK,1,Anders Carlson,s:20~l:28~a:4242519,,,,,,White,9999.99%,23,Happy,6849.15%,,6/16/1998,Auburn,"2023: Rd 6, Pk 207 (GB)",,https://www.espn.com/nfl/player/_/id/4242519/anders-carlson
Pittsburgh Steelers,TE,4,Donald Parham Jr.,s:20~l:28~a:3912092,IR,,,,,Black,10000.00%,30,Neutral,7124.80%,"6' 8"", 237 lbs",8/16/1997 (27),Stetson,,IR,https://www.espn.com/nfl/player/_/id/3912092/donald-parham-jr
Tampa Bay Buccaneers,RT,4,Lorenz Metz,s:20~l:28~a:4360063,,,,,,White,9886.47%,29,Neutral,6637.06%,"6' 9"", 310 lbs",3/7/1997 (28),Cincinnati,,Active,https://www.espn.com/nfl/player/_/id/4360063/lorenz-metz
Tampa Bay Buccaneers,RT,3,Garret Greenfield,s:20~l:28~a:4368306,,,,,,White,9888.90%,26,Happy,9967.24%,"6' 6"", 310 lbs",9/20/1999 (25),S Dakota St,,Active,https://www.espn.com/nfl/player/_/id/4368306/garret-greenfield
Arizona Cardinals,LDT,2,Calais Campbell,s:20~l:28~a:11284,,,,,,Black,9962.84%,33,Happy,9999.98%,"6' 8"", 307 lbs",9/1/1986 (38),Miami,"2008: Rd 2, Pk 50 (ARI)",Active,https://www.espn.com/nfl/player/_/id/11284/calais-campbell
